hash,author,modules,lines_added,lines_deleted
5ba1ac99a8d8623604d3152be8fd9a201ba5240b,Bruce Momjian,['doc'],1,1
36f5594c0fe694600c07c803324b51fcfbea4079,Tom Lane,['src'],51,6
7b8399819b9b1a409b11ebfb4027aed56747f923,Peter Eisentraut,['meson.build'],4,1
b44a1708abe306831073cf88bb0ba6a11e68daee,Alexander Korotkov,['src'],29,2
3850d4dec1d91c4fdce274f42986840444d5593e,Dean Rasheed,['src'],17,12
a4f7d33a904fcd4da7a12d249416dd2c5c5f2c1c,Dean Rasheed,['src'],97,0
0e3e8fbd3a8b1660b02a5bb032dc1f50e1d66b19,Dean Rasheed,['src'],8,1
a7db71ed2787e7dbf2c41473a2b7df2fcb55abd0,Amit Kapila,['src'],2,6
8f4a1ab471e6a258881e3d7f5883705714cde7e1,Heikki Linnakangas,['src'],6,3
76db9cb6368eb553ec334fe05e1258f2439bf07f,Tom Lane,['contrib'],242,47
b64c8b01c275f802372b6860793737219fe2fd62,Michael Paquier,['src'],1,1
1b2c6b756eaae5203af887973b306882fb477836,Michael Paquier,['src'],1,2
8af917be6badf0b50759fd7d9ca4e3e7977dd486,Amit Kapila,['src'],5,0
18b585155a891784ca8985f595ebc0dde94e0d43,Tom Lane,['src'],110,24
93c85db3b5b8d8d15b10b4c66a0e6961028470d4,Alexander Korotkov,['src'],1,1
151ffcf6d8c1a527fa3abc27b1a13c0d43be494e,David Rowley,['src'],2,3
ec63622c03ff7be36d32c08aaa7d853856451488,Alexander Korotkov,['src'],29,2
40d5e5981cc0fa81710dc2399b063a522c36fd68,Michael Paquier,['src'],2,1
0f852cccd96c6dafd7d23fb4ab073df8d370eb94,Daniel Gustafsson,['src'],1,1
56b30e266eaa74f38bdda45067c9a5a63cd24c75,Bruce Momjian,['src'],4,3
675fed4df5db4e78d40a0ce9cb785cfba9fa480f,Alexander Korotkov,['contrib'],7,7
06be01eb266bdb24efd931ad10ee6a1de26271b4,Alexander Korotkov,['src'],3,14
b2d55447a563036579d6777f64a7483dceeab6ea,Dean Rasheed,['src'],71,11
849172ff4883d44168f96f39d3fde96d0aa34c99,Dean Rasheed,['contrib'],17,9
237f8765dfd9149471d37f3754d15cef888338a8,Tom Lane,['src'],17,9
c6cf6d353c2865d82356ac86358622a101fde8ca,Tomas Vondra,['src'],54,29
8da86d62a11269e926765c0d6ef6f532b2b8b749,Tomas Vondra,['src'],96,6
394d51731495794655f95b5580adb757d7a9bbe2,Tomas Vondra,['src'],44,1
b5489b75c6ce9517ab5f9d6f1d98bc928f6d5bd5,Tomas Vondra,['src'],37,1
1f06b7fc6e2bc505bea046ca54a4555ca835d7c9,Amit Langote,['src'],2,1
e9d12a5e22e02bace45dc2ba0e0dcca5b5d4fc52,Jeff Davis,['doc'],5,8
9ba9c7074fa76787530ac0d50313e317ac7032b9,Alexander Korotkov,['src'],24,18
cccfa08c39e194e7737d444974173e47a87b62c8,Michael Paquier,['doc'],9,9
387f9ed0a0832760a709d27abd630002903e3459,Tom Lane,['src'],64,22
00d7fb5e2e39198387ae00af8dd18b787b6a4d63,Jeff Davis,['src'],118,20
9972c7de1d078d30434c16081fe0624ee3d24a61,Michael Paquier,['src'],2,2
40ebc41576e8116b7df90d0181f1371669622ea6,Michael Paquier,['doc'],27,23
dab889d60bac3fbf691973ca1770f2eb50547999,Thomas Munro,['src'],6,4
36a14afc076024ba48c399f2af2d4cd1b2c39348,Alvaro Herrera,['src'],33,12
3f9b1f26ca0eee46affcf1b0fd83c4217dec40db,Michael Paquier,['src'],1,1
19fa977311b9da9c6c84f0108600e78213751a38,Tom Lane,['src'],32,4
4922173010f102a7d56af7c97bd303b95b3f6eff,Michael Paquier,['src'],4,4
47ab5d2e2ec762c9a07b4e07f0207b8230a489c1,Alexander Korotkov,['src'],13,13
e9718b4bd3e4234ffd5a4907a903367fc483c843,Michael Paquier,['src'],15,14
01529c7040088db2718628d0814058598152bd39,Thomas Munro,['src'],4,4
22655aa23132a0645fdcdce4b233a1fff0c0cf8f,Andres Freund,['src'],85,0
d9e46dfb78abf4d3be6071b8c4495df9e1bb4706,David Rowley,['src'],69,27
dab5538f0bfc4cca76396f5d510e2df6f5350d4c,David Rowley,['doc'],8,7
f0c409d9c7a6a92bb4a6b5812ffc5ef94b4c8ed0,David Rowley,['src'],315,62
5d8aa8bcedae7376bd97e79052d606db4e4f8dd4,Tom Lane,['src'],12,13
ef74c7197c04be4c34d1b2a426a9b1935a7f3a43,Jeff Davis,['src'],26,30
fc4089f3c65a5f1b413a3299ba02b66a8e5e37d0,David Rowley,['src'],31,5
f483b209056b4181eb33b97cd6a30910a73c0f87,Michael Paquier,['src'],13,13
77db132637661f6e01497959128fb650330552b4,David Rowley,['src'],3,329
82a7132f531b8b12e77d17476e9bfd599c3c30cf,Alexander Korotkov,['src'],1,1
e8c334c47abb6c8f648cb50241c2cd65c9e4e6dc,Alexander Korotkov,['src'],2,2
5da0a622e88907722ce456d30dbf0565ed7a222b,Heikki Linnakangas,['src'],6,3
fd4d93d269c02081958e4c0c214f1d82186e5689,Michael Paquier,['src'],9,0
0b053e78b5990cd01e7169ee5bd2bb8e4045deea,David Rowley,['src'],22,3
a956bd3fa9d937689db24620002c78221eaffddd,Michael Paquier,['src'],2,1
aea599cfc06b54426160a630e94ab7bdff7529c5,Peter Eisentraut,['src'],1,1
06c0c36884a5c9ced6d6a90f8b47540464b28e3a,Tom Lane,['src'],27,7
