hash,author,modules,lines_added,lines_deleted
313df8f5adde186b0052d7d634a6d0ae41852de0,David Rowley,['src'],5,3
ffabb56c9460b8e2a3fffeea6263a61590ba006d,David Rowley,['src'],16,15
8de5ca1dc9fa809102acd1983ee19159d0bc469f,Heikki Linnakangas,['src'],1,1
b2be5cb2ab671073ec0fc69357c3c11e25bb41cc,Tom Lane,['src'],5,5
0868d7ae70e57f4eeba43792db92ce2d9fe4340d,Alexander Korotkov,['src'],40,2
f5a1311fccd2ed24a9fb42aa47a17d1df7126039,Peter Eisentraut,['src'],4,4
a79ed10e6c6b43cc43a51a5f5bcc29252b4bb6dc,Heikki Linnakangas,['src'],3,10
8c3548613d7e2a7c010360e6f55fa6db849eeef9,Nathan Bossart,['doc'],2,2
b919a97a6cd204cbd9b77d12c9e60ad59eea04a4,Tom Lane,['src'],113,14
498ee9ee2f4bc7d79f2d91cdd817b2a8f14a664f,Alvaro Herrera,['src'],66,29
49dc191bd1ae30180597c33e7f75a9950b896ccc,Heikki Linnakangas,['src'],2,4
e56ccc8e4204d9faf86f3bd2e435a0788b3d0429,Noah Misch,['doc'],2,2
8d148bb8b8529ed8edeee4332e8eb41bac0fc193,Tom Lane,['src'],16,12
2bb969f3998489e5dc4fe9f2a61185b43581975d,Alvaro Herrera,['src'],74,34
a54d4ed183927f15e1853b83106acebeeeee11c8,Heikki Linnakangas,['src'],2,2
39a138fbef87803ab7fe494243c1ba36a093a0e8,Heikki Linnakangas,['src'],3,3
3dcb09de7bb21c75d4df48263561af324fd099a4,Heikki Linnakangas,['src'],3,3
b5df24e52044abfa6fe20a568ed8bfcb9761a090,Amit Kapila,['src'],1,1
f68cd847fa40ead44a786b9c34aff9ccc048004b,Michael Paquier,['src'],229,2
2eff9e678d350882f7a4b6ec6361927c9093051c,Michael Paquier,['src'],32,0
8036d73ae3d4014a9dde21b0746dc1ac139d4dc1,Alexander Korotkov,['doc'],1,1
028b4b21df26fee67b3ce75c6f14fcfd3c7cf2ee,Michael Paquier,['src'],10,10
3cffe7946c268be91a340ec9a27081cb93d67d35,Noah Misch,['doc'],4,4
a83f3088b8f409aaee7a939c2847157d97006193,Alvaro Herrera,['src'],1,1
3b2f668b785c9b7970d86e7f72a717751d1ddfc2,Alvaro Herrera,['src'],3,3
ef4c35b4166e3c99558eba1bc324b2fde61d6ed5,Heikki Linnakangas,['src'],4,4
0dcea330babd46402f6ca3ea3a552829c99bbe5e,Amit Kapila,['src'],2,2
03b08c8f5f3e30c97e5908f3d3d76872dab8a9dc,Amit Kapila,['src'],22,0
9b282a9359a12831c087eba7f0f5f0b1dba7b7eb,Richard Guo,['src'],214,21
ca1ba50fcb6f85ac603aecbc184c7c59886c2a7c,Michael Paquier,['src'],62,4
7f56eaff2fb0f3541c5c6ef8c1099e7f0618b461,Amit Langote,['src'],102,16
74c96699be3f53c058c8794c07952221b9625b4f,Amit Langote,['src'],164,52
0393f542d72c6182271c392d9a83d0fc775113c7,Heikki Linnakangas,['src'],4,2
8bda213ec1628737b500b6b04ec164aec354eb04,Heikki Linnakangas,['src'],2,2
19de089cdc23373e2f36916017a1e23e8ff4c2f8,Heikki Linnakangas,['src'],3,3
c0ef1234dfb68bb0b5c926c0eafd82881ad78374,Jeff Davis,['src'],3,2
b181062aa5727a013c96b64476f884c992b5068d,David Rowley,['src'],18,2
1e666fd7c6d3bff658cdbad02b4e7bb77dde391d,Peter Eisentraut,['src'],11,9
da4017a694de0610bd5b3a54adda311e46e26300,Tom Lane,['doc'],9,9
c9e24573905bef7fc3e4efb02bdb4d0cc8e43c51,Michael Paquier,['src'],14,13
454aab4b738e53a5dbfca9251a7807a2ad21f87e,Fujii Masao,['contrib'],2,1
5d1d8b3c82c2a796bf7d89f2a5785ce9424acab1,Tom Lane,"['doc', 'src']",26,10
c883453cb29cb40c1e59c3c54d159c5e744da8a9,Robert Haas,['src'],3,3
161c73462bf2b9845371d785eac21e32f8fdcae0,Daniel Gustafsson,['src'],3,3
ef7fa900fb587cbaac9f3e943f789155b97aa02b,Heikki Linnakangas,['src'],26,0
20e0e7da9bc0089433c70b2b53ddf6a340ab5df3,Heikki Linnakangas,"['doc', 'src']",118,1
